날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-07-29,289,23.9,23.1,25.2
2020-07-29,266,24.9,23.8,28.4
2020-07-29,268,26.4,24.5,29.5
2020-07-29,271,21,20.1,23.2
2020-07-29,272,21.6,20.1,22.7
2020-07-29,273,22,21.2,23.6
2020-07-29,276,22.1,20.3,24.9
2020-07-29,277,21.3,20,24.7
2020-07-29,278,23.2,21.8,24.9
2020-07-29,258,26.3,25,29.8
2020-07-29,259,26.3,24.8,29
2020-07-29,260,25.9,24.2,28.7
2020-07-29,261,26.5,25.7,28.9
2020-07-29,262,26.1,23.9,29.8
2020-07-29,263,24.9,23.2,27.2
2020-07-29,264,23.7,22.9,24.8
2020-07-29,248,23.4,22.5,24.2
2020-07-29,251,25,22.7,26.8
2020-07-29,252,25.4,22.6,27.5
2020-07-29,253,23.9,22.1,27.3
2020-07-29,254,23.9,23.2,25.6
2020-07-29,255,25.5,24,29.7
2020-07-29,257,24.4,21.9,29.7
2020-07-29,236,24.9,23.6,26.4
2020-07-29,238,24.2,23,26.2
2020-07-29,239,24.6,22.9,26.5
2020-07-29,243,24.9,23.2,26.2
2020-07-29,244,23.2,22.4,23.8
2020-07-29,245,24.6,23.1,26.3
2020-07-29,247,23.9,23.2,25.2
2020-07-29,212,23,20.5,25.8
2020-07-29,216,19.9,17.5,24.7
2020-07-29,217,21.7,19.5,27.1
2020-07-29,221,22.7,20.4,26
2020-07-29,226,22.5,21.8,24
2020-07-29,232,23.9,22.9,25.1
2020-07-29,235,25.3,23.5,27.2
2020-07-29,188,26.9,24.1,29.7
2020-07-29,189,26.5,24.8,28.8
2020-07-29,192,24.4,23.2,27.4
2020-07-29,201,23.3,22.2,24.3
2020-07-29,202,23.4,21.5,25.3
2020-07-29,203,23.9,22.1,26.2
2020-07-29,211,22.1,20.2,24.4
2020-07-29,169,22.5,20.6,25.1
2020-07-29,170,26,23.6,30.5
2020-07-29,172,25.2,23.1,26.9
2020-07-29,174,24.4,23.4,27.2
2020-07-29,177,25.3,23.7,28.4
2020-07-29,184,27.9,25.7,30.9
2020-07-29,185,26.4,24.9,28.5
2020-07-29,152,23,21.8,23.9
2020-07-29,155,23.3,22.1,26.5
2020-07-29,156,24.9,23.2,26.2
2020-07-29,159,23.2,21.9,24.8
2020-07-29,162,24.2,23,28
2020-07-30,165,26.8,25.7,29.9
2020-07-30,168,25.3,23.2,29.5
2020-07-30,135,22.2,20.7,25
2020-07-30,136,22.4,20.8,25.9
2020-07-30,137,23.1,21.6,26.2
2020-07-30,138,23.5,22.2,24.4
2020-07-30,140,24.9,23.3,28.9
2020-07-30,143,23.1,21.2,25
2020-07-30,146,25.7,23.8,28.3
2020-07-30,119,24.8,22.6,28.3
2020-07-30,121,23.4,21.3,26.8
2020-07-30,127,24.2,22.1,28.1
2020-07-30,129,24.6,23,28.2
2020-07-30,130,23.1,20.8,28.2
